<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200812,010000,373.1200000,376.5800000,368.4500000,373.5900000,13796
GDAX.ETH-USD,60,20200812,020000,373.7000000,376.2800000,372.1400000,375.4300000,6613
GDAX.ETH-USD,60,20200812,030000,375.4300000,381.6000000,375.1600000,378.8800000,8038
GDAX.ETH-USD,60,20200812,040000,378.9200000,380.1700000,375.8300000,376.5900000,5791
GDAX.ETH-USD,60,20200812,050000,376.5900000,380.3200000,376.5100000,377.9100000,4610
GDAX.ETH-USD,60,20200812,060000,378.0000000,378.7200000,372.2200000,373.6100000,8727
GDAX.ETH-USD,60,20200812,070000,373.7600000,377.5000000,373.0500000,377.5000000,4344
GDAX.ETH-USD,60,20200812,080000,377.5000000,377.9800000,373.4900000,373.7200000,4284
GDAX.ETH-USD,60,20200812,090000,373.7600000,375.0000000,369.5400000,369.8100000,4968
GDAX.ETH-USD,60,20200812,100000,369.7100000,374.6800000,365.1900000,374.3500000,9671
GDAX.ETH-USD,60,20200812,110000,374.2800000,380.6100000,373.6500000,379.2700000,5542
GDAX.ETH-USD,60,20200812,120000,379.3100000,382.0100000,377.6400000,378.5100000,5808
GDAX.ETH-USD,60,20200812,130000,378.6200000,382.2000000,378.4800000,381.2300000,4808
GDAX.ETH-USD,60,20200812,140000,381.1900000,385.0000000,380.2200000,383.9000000,4658
GDAX.ETH-USD,60,20200812,150000,383.9000000,384.9800000,380.9200000,381.8100000,2747
GDAX.ETH-USD,60,20200812,160000,381.8100000,384.6700000,380.0300000,384.6600000,4820
GDAX.ETH-USD,60,20200812,170000,384.6700000,386.9800000,382.9200000,386.7300000,9124
GDAX.ETH-USD,60,20200812,180000,386.7800000,387.2500000,383.8600000,385.8800000,10938
GDAX.ETH-USD,60,20200812,190000,385.8800000,387.5900000,384.1100000,385.1900000,8626
GDAX.ETH-USD,60,20200812,200000,385.1800000,386.4700000,381.9100000,382.9800000,9013
